payroll_id,employee_id,employee_name,department,position,payment_period,base_salary,overtime_pay,allowances,deductions,net_salary,payment_date,currency,employment_type,cost_center
PAY-2025-04-00784,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-04,321528,73779,14502,102356,307453,2025-04-25,JPY,full_time,CC-001
PAY-2025-04-00785,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-04,308020,20000,37551,92072,273499,2025-04-25,JPY,full_time,CC-005
PAY-2025-04-00786,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-04,389465,65386,49295,119656,384490,2025-04-25,JPY,full_time,CC-002
PAY-2025-04-00787,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-04,442621,70566,43775,138173,418789,2025-04-25,JPY,full_time,CC-004
PAY-2025-04-00788,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-04,353697,51256,36295,103176,338072,2025-04-25,JPY,full_time,CC-001
PAY-2025-04-00789,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-04,325596,20000,57691,96037,307250,2025-04-25,JPY,full_time,CC-005
PAY-2025-04-00790,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-04,303207,49883,62097,95263,319924,2025-04-25,JPY,full_time,CC-002
PAY-2025-04-00791,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-04,420365,31889,19285,125708,345831,2025-04-25,JPY,full_time,CC-004
PAY-2025-04-00792,EMP-STM-ADM-012,山田真理子,administration,manager,2025-04,376804,71175,54492,123393,379078,2025-04-25,JPY,full_time,CC-001
PAY-2025-04-00793,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-04,337271,26004,17713,88576,292412,2025-04-25,JPY,full_time,CC-005
PAY-2025-04-00794,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-04,397786,41496,57125,106037,390370,2025-04-25,JPY,full_time,CC-002
PAY-2025-04-00795,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-04,358419,79673,55710,122748,371054,2025-04-25,JPY,full_time,CC-004
PAY-2025-04-00796,EMP-SZK-ADM-016,松本由美,administration,manager,2025-04,360773,57840,51351,104987,364977,2025-04-25,JPY,full_time,CC-001
PAY-2025-04-00797,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-04,349211,20000,52678,98584,323305,2025-04-25,JPY,full_time,CC-005
PAY-2025-04-00798,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-04,359251,69271,38209,119162,347569,2025-04-25,JPY,full_time,CC-002
PAY-2025-04-00799,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-04,351250,68688,60429,111318,369049,2025-04-25,JPY,full_time,CC-004
PAY-2025-04-00800,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-04,349514,71282,18473,110819,328450,2025-04-25,JPY,full_time,CC-001
PAY-2025-05-00801,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-05,325709,20000,54408,98844,301273,2025-05-25,JPY,full_time,CC-005
PAY-2025-05-00802,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-05,370781,65700,29682,110127,356036,2025-05-25,JPY,full_time,CC-002
PAY-2025-05-00803,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-05,382299,58196,60792,106444,394843,2025-05-25,JPY,full_time,CC-004
PAY-2025-05-00804,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-05,321528,68998,12061,101338,301249,2025-05-25,JPY,full_time,CC-001
PAY-2025-05-00805,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-05,308020,20000,52943,84319,296644,2025-05-25,JPY,full_time,CC-005
PAY-2025-05-00806,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-05,389465,52570,44754,119227,367562,2025-05-25,JPY,full_time,CC-002
PAY-2025-05-00807,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-05,442621,38251,12225,138102,354995,2025-05-25,JPY,full_time,CC-004
PAY-2025-05-00808,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-05,353697,75298,43792,116495,356292,2025-05-25,JPY,full_time,CC-001
PAY-2025-05-00809,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-05,325596,20000,53154,96983,301767,2025-05-25,JPY,full_time,CC-005
PAY-2025-05-00810,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-05,303207,73673,30205,95528,311557,2025-05-25,JPY,full_time,CC-002
PAY-2025-05-00811,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-05,420365,43662,59032,118598,404461,2025-05-25,JPY,full_time,CC-004
PAY-2025-05-00812,EMP-STM-ADM-012,山田真理子,administration,manager,2025-05,376804,46971,46390,103403,366762,2025-05-25,JPY,full_time,CC-001
PAY-2025-05-00813,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-05,337271,20000,30494,99324,288441,2025-05-25,JPY,full_time,CC-005
PAY-2025-05-00814,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-05,397786,52521,50588,123094,377801,2025-05-25,JPY,full_time,CC-002
PAY-2025-05-00815,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-05,358419,33982,31256,101866,321791,2025-05-25,JPY,full_time,CC-004
PAY-2025-05-00816,EMP-SZK-ADM-016,松本由美,administration,manager,2025-05,360773,65538,55464,115309,366466,2025-05-25,JPY,full_time,CC-001
PAY-2025-05-00817,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-05,349211,20000,48774,94336,323649,2025-05-25,JPY,full_time,CC-005
PAY-2025-05-00818,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-05,359251,44824,55645,110583,349137,2025-05-25,JPY,full_time,CC-002
PAY-2025-05-00819,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-05,351250,74124,52274,102513,375135,2025-05-25,JPY,full_time,CC-004
PAY-2025-05-00820,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-05,349514,71764,41464,113849,348893,2025-05-25,JPY,full_time,CC-001
PAY-2025-06-00821,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-06,325709,20000,49216,88812,306113,2025-06-25,JPY,full_time,CC-005
PAY-2025-06-00822,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-06,370781,65866,51270,118267,369650,2025-06-25,JPY,full_time,CC-002
PAY-2025-06-00823,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-06,382299,48006,38670,118259,350716,2025-06-25,JPY,full_time,CC-004
PAY-2025-06-00824,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-06,321528,48727,52027,96433,325849,2025-06-25,JPY,full_time,CC-001
PAY-2025-06-00825,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-06,308020,20000,52001,83077,296944,2025-06-25,JPY,full_time,CC-005
PAY-2025-06-00826,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-06,389465,33780,53695,105872,371068,2025-06-25,JPY,full_time,CC-002
PAY-2025-06-00827,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-06,442621,71601,35416,141907,407731,2025-06-25,JPY,full_time,CC-004
PAY-2025-06-00828,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-06,353697,41546,64872,114353,345762,2025-06-25,JPY,full_time,CC-001
PAY-2025-06-00829,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-06,325596,21620,36760,102069,281907,2025-06-25,JPY,full_time,CC-005
PAY-2025-06-00830,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-06,303207,34948,44062,96814,285403,2025-06-25,JPY,full_time,CC-002
PAY-2025-06-00831,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-06,420365,44979,40186,123091,382439,2025-06-25,JPY,full_time,CC-004
PAY-2025-06-00832,EMP-STM-ADM-012,山田真理子,administration,manager,2025-06,376804,73964,45920,117549,379139,2025-06-25,JPY,full_time,CC-001
PAY-2025-06-00833,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-06,337271,22080,19997,100539,278809,2025-06-25,JPY,full_time,CC-005
PAY-2025-06-00834,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-06,397786,51371,14816,109211,354762,2025-06-25,JPY,full_time,CC-002
PAY-2025-06-00835,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-06,358419,33453,20970,110028,302814,2025-06-25,JPY,full_time,CC-004
PAY-2025-06-00836,EMP-SZK-ADM-016,松本由美,administration,manager,2025-06,360773,62171,54715,117583,360076,2025-06-25,JPY,full_time,CC-001
PAY-2025-06-00837,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-06,349211,20000,39484,96110,312585,2025-06-25,JPY,full_time,CC-005
PAY-2025-06-00838,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-06,359251,57618,58956,109805,366020,2025-06-25,JPY,full_time,CC-002
PAY-2025-06-00839,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-06,351250,74913,28951,118565,336549,2025-06-25,JPY,full_time,CC-004
PAY-2025-06-00840,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-06,349514,35137,60244,108112,336783,2025-06-25,JPY,full_time,CC-001
PAY-2025-07-00841,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-07,325709,20000,30650,95163,281196,2025-07-25,JPY,full_time,CC-005
PAY-2025-07-00842,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-07,370781,46187,58378,114927,360419,2025-07-25,JPY,full_time,CC-002
PAY-2025-07-00843,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-07,382299,35416,56048,111801,361962,2025-07-25,JPY,full_time,CC-004
PAY-2025-07-00844,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-07,321528,56748,34985,93390,319871,2025-07-25,JPY,full_time,CC-001
PAY-2025-07-00845,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-07,308020,20000,45264,84567,288717,2025-07-25,JPY,full_time,CC-005
PAY-2025-07-00846,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-07,389465,40710,60741,118273,372643,2025-07-25,JPY,full_time,CC-002
PAY-2025-07-00847,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-07,442621,56333,34165,133946,399173,2025-07-25,JPY,full_time,CC-004
PAY-2025-07-00848,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-07,353697,33240,39843,111810,314970,2025-07-25,JPY,full_time,CC-001
PAY-2025-07-00849,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-07,325596,20000,39865,91362,294099,2025-07-25,JPY,full_time,CC-005
PAY-2025-07-00850,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-07,303207,70682,65440,102376,336953,2025-07-25,JPY,full_time,CC-002
PAY-2025-07-00851,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-07,420365,69238,18214,117944,389873,2025-07-25,JPY,full_time,CC-004
PAY-2025-07-00852,EMP-STM-ADM-012,山田真理子,administration,manager,2025-07,376804,55152,34265,110938,355283,2025-07-25,JPY,full_time,CC-001
PAY-2025-07-00853,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-07,337271,22667,15769,95964,279743,2025-07-25,JPY,full_time,CC-005
PAY-2025-07-00854,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-07,397786,61998,14041,130151,343674,2025-07-25,JPY,full_time,CC-002
PAY-2025-07-00855,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-07,358419,61035,53068,114027,358495,2025-07-25,JPY,full_time,CC-004
PAY-2025-07-00856,EMP-SZK-ADM-016,松本由美,administration,manager,2025-07,360773,47206,53696,112507,349168,2025-07-25,JPY,full_time,CC-001
PAY-2025-07-00857,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-07,349211,20000,42884,96353,315742,2025-07-25,JPY,full_time,CC-005
PAY-2025-07-00858,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-07,359251,61471,58623,108193,371152,2025-07-25,JPY,full_time,CC-002
PAY-2025-07-00859,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-07,351250,64656,32604,107333,341177,2025-07-25,JPY,full_time,CC-004
PAY-2025-07-00860,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-07,349514,73915,47245,106574,364100,2025-07-25,JPY,full_time,CC-001
PAY-2025-08-00861,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-08,325709,20000,55441,99124,302026,2025-08-25,JPY,full_time,CC-005
PAY-2025-08-00862,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-08,370781,43095,32748,114516,332108,2025-08-25,JPY,full_time,CC-002
PAY-2025-08-00863,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-08,382299,43808,34228,117655,342680,2025-08-25,JPY,full_time,CC-004
PAY-2025-08-00864,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-08,321528,53087,38152,101460,311307,2025-08-25,JPY,full_time,CC-001
PAY-2025-08-00865,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-08,308020,20000,41173,90197,278996,2025-08-25,JPY,full_time,CC-005
PAY-2025-08-00866,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-08,389465,79548,45614,131246,383381,2025-08-25,JPY,full_time,CC-002
PAY-2025-08-00867,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-08,442621,73999,49844,133756,432708,2025-08-25,JPY,full_time,CC-004
PAY-2025-08-00868,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-08,353697,35943,33733,107701,315672,2025-08-25,JPY,full_time,CC-001
PAY-2025-08-00869,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-08,325596,24565,63614,88747,325028,2025-08-25,JPY,full_time,CC-005
PAY-2025-08-00870,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-08,303207,72167,31254,93202,313426,2025-08-25,JPY,full_time,CC-002
PAY-2025-08-00871,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-08,420365,36880,56774,118720,395299,2025-08-25,JPY,full_time,CC-004
PAY-2025-08-00872,EMP-STM-ADM-012,山田真理子,administration,manager,2025-08,376804,43725,63159,105167,378521,2025-08-25,JPY,full_time,CC-001
PAY-2025-08-00873,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-08,337271,20000,10170,101096,266345,2025-08-25,JPY,full_time,CC-005
PAY-2025-08-00874,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-08,397786,79242,40573,124878,392723,2025-08-25,JPY,full_time,CC-002
PAY-2025-08-00875,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-08,358419,33126,42049,98967,334627,2025-08-25,JPY,full_time,CC-004
PAY-2025-08-00876,EMP-SZK-ADM-016,松本由美,administration,manager,2025-08,360773,77601,36935,110411,364898,2025-08-25,JPY,full_time,CC-001
PAY-2025-08-00877,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-08,349211,20000,53355,96875,325691,2025-08-25,JPY,full_time,CC-005
PAY-2025-08-00878,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-08,359251,38660,34648,95489,337070,2025-08-25,JPY,full_time,CC-002
PAY-2025-08-00879,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-08,351250,34497,55941,103988,337700,2025-08-25,JPY,full_time,CC-004
PAY-2025-08-00880,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-08,349514,47341,41992,111286,327561,2025-08-25,JPY,full_time,CC-001
PAY-2025-09-00881,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-09,325709,20000,24676,89624,280761,2025-09-25,JPY,full_time,CC-005
PAY-2025-09-00882,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-09,370781,78460,41538,129510,361269,2025-09-25,JPY,full_time,CC-002
PAY-2025-09-00883,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-09,382299,31766,55088,116005,353148,2025-09-25,JPY,full_time,CC-004
PAY-2025-09-00884,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-09,321528,59630,57984,102810,336332,2025-09-25,JPY,full_time,CC-001
PAY-2025-09-00885,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-09,308020,24605,43668,89506,286787,2025-09-25,JPY,full_time,CC-005
PAY-2025-09-00886,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-09,389465,35045,51090,106992,368608,2025-09-25,JPY,full_time,CC-002
PAY-2025-09-00887,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-09,442621,55910,56168,128652,426047,2025-09-25,JPY,full_time,CC-004
PAY-2025-09-00888,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-09,353697,53528,17286,110232,314279,2025-09-25,JPY,full_time,CC-001
PAY-2025-09-00889,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-09,325596,20000,36385,95538,286443,2025-09-25,JPY,full_time,CC-005
PAY-2025-09-00890,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-09,303207,39123,65401,89328,318403,2025-09-25,JPY,full_time,CC-002
PAY-2025-09-00891,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-09,420365,59838,34297,122701,391799,2025-09-25,JPY,full_time,CC-004
PAY-2025-09-00892,EMP-STM-ADM-012,山田真理子,administration,manager,2025-09,376804,39076,33424,111989,337315,2025-09-25,JPY,full_time,CC-001
